ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Bayan Hamiyet Şamiha İnönü,88,46,71,56,Turkiye,Ingilizce
2,Bay Feremez Dumanlı,93,87,82,80,Turkiye,Ingilizce
3,Bayan Feryas Soylu Gül,64,62,40,67,Turkiye,Beden Egitimi
4,Nihai Yıldırım,96,79,51,88,Turkiye,Matematik
5,Emine. İhsanoğlu Yılmaz,67,77,87,90,Turkiye,Ingilizce
6,Dr. Vedat Vedat Bilgin,49,78,72,78,Turkiye,Beden Egitimi
7,Sernur Tarhan Gülen,45,57,40,73,Turkiye,Turkce
8,Umuşan Soylu Demir,77,61,84,66,Turkiye,Ingilizce
9,Esmanperi Ergül,74,57,77,72,Suriye,Beden Egitimi
10,İntihap Koçak Şama Sezer,100,80,68,57,Turkiye,Matematik
11,Bay İşcan Günden Akçay,45,63,90,70,Suriye,Matematik
12,Cuheyna Arsoy,70,45,66,83,Turkiye,Matematik
13,Akgüneş Çamurcuoğlu,87,48,74,76,Bulgaristan,Beden Egitimi
14,Gönen Kısakürek,46,100,46,68,Turkiye,Turkce
15,Dr. Necva Söyler Tarhan,82,91,64,58,Suriye,Beden Egitimi
16,Dr. Aşhan Macide Bilgin,67,61,45,89,Turkiye,Ingilizce
17,Ömriye Zelha Şensoy,84,56,50,88,Turkiye,Beden Egitimi
18,Cihan Şafak,89,89,48,69,Turkiye,Turkce
19,Bahittin Durdu,77,49,85,95,Turkiye,Matematik
20,Mihin Akça,67,51,92,95,Turkiye,Ingilizce
21,Tule Bediriye Akar,80,50,91,74,Turkiye,Ingilizce
22,Bayan İncifir Hadrey Tarhan,92,66,77,58,Suriye,Matematik
23,Bayan Yekbun Ülker Seven,83,52,42,92,Turkiye,Turkce
24,Nesip Ergül,87,62,69,94,Turkiye,Matematik
25,Bay Tunçboğa Sezgin,89,70,96,67,Turkiye,Matematik
26,Şennur Bilir,71,46,54,81,Suriye,Turkce
27,Ferahdiba Çamurcuoğlu,79,71,99,95,Turkiye,Beden Egitimi
28,Günar Yurtseven Alemdar Mansız,81,82,71,85,Turkiye,Ingilizce
29,Umuşan Durmuş Şener,72,90,94,57,Turkiye,Matematik
30,İbrahim Alemdar,50,97,70,86,Turkiye,Turkce
31,Dr. Hürmet Güçlü Bilge,66,53,61,82,Turkiye,Beden Egitimi
32,Aysuna Sezgin,92,73,50,96,Suriye,Matematik
