ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Dr. Laze Canseven Aksu Bilir,100,99,70,65,Turkiye,Turkce
2,Arcan Önel Şafak,79,84,83,65,Turkiye,Ingilizce
3,Dr. Fildan Menfeat Yüksel Çamurcuoğlu,87,76,85,75,Turkiye,Matematik
4,Bay Oruç Özsözlü Çamurcuoğlu,85,92,67,57,Turkiye,Turkce
5,Bayan Jaruthip Natalia Duran Korutürk,54,45,67,73,Turkiye,Ingilizce
6,Neriban Türk,94,69,74,98,Suriye,Matematik
7,Günaydin Zorlu,98,93,53,72,Turkiye,Ingilizce
8,Dr. Yasemen Koncagül Seven Kısakürek,47,82,83,95,Turkiye,Ingilizce
9,Utkucan Galip Şensoy Kısakürek,81,98,91,71,Turkiye,Matematik
10,Nurgil Alemdar,79,76,72,96,Turkiye,Ingilizce
11,Konguralp Ulakbey Sakarya,53,81,82,70,Turkiye,Turkce
12,Huban Akgündüz,50,75,88,65,Turkiye,Ingilizce
13,Hezniye Kâzime Sezgin Kısakürek,94,85,67,88,Turkiye,Turkce
14,Mahigül İslime Durdu Çetin,60,58,50,69,Suriye,Ingilizce
15,Bay Mucahit Yüksel,83,87,85,60,Turkiye,Ingilizce
16,Bayan Cihan Kutun Yılmaz Şafak,59,75,91,68,Suriye,Beden Egitimi
17,Durmuşali Duran,59,86,72,56,Turkiye,Turkce
18,Gülev Basriye Seven,68,74,59,61,Turkiye,Matematik
19,Bay Tümkurt Korutürk,51,97,52,60,Turkiye,Beden Egitimi
20,Çilga Tarhan Dumanlı,84,76,93,79,Turkiye,Beden Egitimi
21,Afife Zinnure Durmuş,86,58,76,76,Turkiye,Ingilizce
22,Sümerya Gül,80,57,51,58,Turkiye,Beden Egitimi
23,Çolpan Özyurt Yılmaz İnönü,86,83,86,99,Turkiye,Turkce
24,Müğber Gülsalın Akar,68,77,93,77,Turkiye,Matematik
25,İncifir Şener Hançer,50,95,96,62,Turkiye,Turkce
26,Pesent Demirel,80,71,63,66,Bulgaristan,Turkce
27,Bay Muhip Erdoğan,81,70,57,93,Bulgaristan,Beden Egitimi
28,Fadıla Yıldız Şafak,75,93,58,72,Turkiye,Ingilizce
29,Dr. Kahir Akgündüz,89,46,45,55,Turkiye,Matematik
30,Fahrullah Çetin,67,98,92,66,Turkiye,Matematik
31,Bay Özpınar Öcalan,84,68,66,65,Turkiye,Beden Egitimi
32,Tınal Korutürk,56,87,76,92,Turkiye,Matematik
33,Bay Özalpsan Öğet Manço,66,51,53,80,Turkiye,Ingilizce
34,Dr. Süleyla Yılmaz Öcalan,64,89,55,55,Bulgaristan,Beden Egitimi
35,Rüknettin Arsoy,81,59,55,60,Turkiye,Beden Egitimi
