ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Atalay Yüksel,66,55,74,56,Turkiye,Turkce
2,Sidki Akgündüz,70,67,99,72,Turkiye,Matematik
3,Erbil Bilir,75,83,46,74,Turkiye,Ingilizce
4,Hurşide Akise Demir Eraslan,54,88,98,74,Turkiye,Turkce
5,Dr. Süheyda Döner Şama,48,83,70,69,Turkiye,Matematik
6,Dr. Talibe Mufide Yıldırım Demirel,96,48,48,70,Turkiye,Beden Egitimi
7,Bayan Ervaniye Akise Duran,79,55,56,70,Suriye,Ingilizce
8,Bay Pehlil Çamok Akçay,70,91,64,58,Turkiye,Matematik
9,Haliye Döner Yılmaz Yorulmaz,77,100,88,62,Bulgaristan,Beden Egitimi
10,Bay Fahrullah Nakip İnönü,100,92,93,98,Turkiye,Beden Egitimi
11,Cangür Akar,91,61,75,63,Turkiye,Beden Egitimi
12,Oguş Nazlihan Zorlu,99,68,57,96,Turkiye,Turkce
13,Bilay Ergül Akgündüz,97,67,58,99,Turkiye,Turkce
14,Çevregül Siti Yaman Seven,66,49,61,63,Turkiye,Beden Egitimi
15,Gökay Şama,60,74,41,89,Turkiye,Matematik
16,Dr. Belgizar Fatinur Seven,67,56,96,98,Turkiye,Matematik
17,İklim Özyurt Mansız Çamurcuoğlu,71,47,71,84,Turkiye,Matematik
18,Hacile Durdu,57,59,70,70,Turkiye,Turkce
19,Yaşattin Yüksel,80,90,100,63,Turkiye,Turkce
20,Dr. Ruhide Ülke Fırat Kısakürek,45,72,90,85,Turkiye,Matematik
21,Seyhan Uğur İnönü,62,51,42,77,Turkiye,Beden Egitimi
22,Duyguhan Fırat Aslan,94,65,76,56,Turkiye,Matematik
23,Apaydın Karadeniz,72,57,89,92,Turkiye,Ingilizce
24,Dr. Vefia Öcalan Aslan,92,90,61,84,Turkiye,Beden Egitimi
25,Beyzade Yılmaz,80,65,44,76,Turkiye,Matematik
26,Sayin Şama,66,79,52,65,Turkiye,Beden Egitimi
27,Bayan Dilhuş Paksu Seven Erdoğan,74,52,54,91,Turkiye,Ingilizce
28,Dr. Teybet Fildan Sakarya İnönü,75,84,65,80,Turkiye,Beden Egitimi
29,Dirlik Yorulmaz,63,66,48,56,Turkiye,Matematik
30,Açıkel Telim Eraslan Tarhan,46,62,55,70,Turkiye,Beden Egitimi
31,Öğet Afer Şama Sezgin,60,73,77,92,Turkiye,Matematik
32,Alkor Seracettin Demir,77,87,56,55,Turkiye,Turkce
33,Dr. Avunç Arslan Kısakürek,100,69,58,95,Turkiye,Turkce
34,Örfiye Bilge Ülker,52,74,57,91,Turkiye,Beden Egitimi
35,Mehdiye Erdoğan Ertaş,73,82,63,57,Suriye,Turkce
36,Atalay Seven,84,74,89,90,Turkiye,Turkce
37,Bergen Bilge,64,85,98,85,Turkiye,Beden Egitimi
38,Çokan Şafak,58,72,78,72,Turkiye,Beden Egitimi
