ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Mutluhan Gül,46,61,65,85,Suriye,Beden Egitimi
2,Seha Uçbeyi Durdu Karadeniz,79,62,98,69,Turkiye,Matematik
3,Refik Seven,89,87,98,89,Turkiye,Matematik
4,Alcan İnönü,83,61,71,56,Turkiye,Turkce
5,Dr. Aynilhayat Değer Tarhan Ertaş,67,74,86,57,Turkiye,Matematik
6,Beriye Durmuş Tarhan,95,67,69,77,Turkiye,Beden Egitimi
7,Havali Türk,63,87,95,84,Turkiye,Turkce
8,Esenbay Manço,54,47,69,64,Turkiye,Ingilizce
9,Bay Ebuakil Zengin,79,76,41,82,Turkiye,Matematik
10,Dr. Borahan Akver Akça,92,46,58,90,Turkiye,Turkce
11,Oğurata Emin Yılmaz Manço,52,62,56,96,Turkiye,Turkce
12,Dr. Canberk Mansız,64,47,98,95,Turkiye,Ingilizce
13,Sevican Tevetoğlu Şener,74,47,81,65,Bulgaristan,Matematik
14,Ayyaruk Demirel Bilgin,45,98,71,89,Turkiye,Turkce
15,Serhatmehmet Yıldırım,63,90,67,74,Suriye,Turkce
16,Beste Özlem Tevetoğlu Yaman,97,66,96,89,Turkiye,Turkce
17,Bayan Pembesin Neşrin Zengin Gül,58,99,66,74,Suriye,Turkce
18,Bayan Faize Arsoy Durmuş,64,97,64,58,Suriye,Beden Egitimi
19,Dr. Vacibe Âlemşah Tevetoğlu,69,76,93,60,Turkiye,Turkce
20,Benek Gülen,95,61,58,100,Bulgaristan,Turkce
21,Dr. Sehel Rana Şensoy Akçay,97,45,79,68,Turkiye,Beden Egitimi
22,Aral Demirel,94,57,86,86,Turkiye,Ingilizce
23,Zubeyde Güçlü,93,45,73,72,Bulgaristan,Matematik
24,Bektaşi Baytal Şener Öcalan,81,58,84,78,Turkiye,Matematik
25,Vezat Muratcan Yüksel Sezgin,93,93,66,68,Turkiye,Ingilizce
26,Müret Yorulmaz Zorlu,86,50,48,65,Turkiye,Matematik
27,Dr. Feyha Şerman Bilge Seven,77,71,77,79,Suriye,Ingilizce
28,Gülselin Bilir,92,57,52,72,Turkiye,Turkce
29,Bekbay Fehim Korutürk Çorlu,50,66,95,100,Turkiye,Turkce
30,Kelâmi Korutürk,51,67,59,58,Turkiye,Turkce
31,Zülfüye Akdeniz,95,56,74,57,Turkiye,Matematik
