ogrenci_no,ad_soyad,matematik,turkce,ingilizce,beden_egitimi,uyruk,sevdigi_ders
1,Lüfen Karadeniz,89,49,96,78,Suriye,Ingilizce
2,Firdevis Durdu,80,67,48,66,Turkiye,Beden Egitimi
3,Ufukay Çolpan Arsoy,49,47,89,100,Turkiye,Beden Egitimi
4,Yayak Yönetmen Erdoğan,98,86,42,91,Turkiye,Ingilizce
5,Nas Sakarya,53,100,85,65,Turkiye,Beden Egitimi
6,Öncel Aksu Akar,51,95,70,88,Turkiye,Matematik
7,Bay Alpin Eraslan,96,66,72,84,Turkiye,Beden Egitimi
8,Dr. Aylil Elamiye İhsanoğlu,46,69,87,98,Turkiye,Ingilizce
9,Sabih Borahan Şama Gülen,73,63,69,68,Turkiye,Turkce
10,Bayan Aynımah Necva Manço Eraslan,91,99,96,83,Turkiye,Turkce
11,Bay Nabil Yorulmaz,54,86,92,77,Turkiye,Beden Egitimi
12,Nades Zengin,77,92,92,71,Suriye,Matematik
13,Bayan Sevcan Mansız Sezer,69,49,51,76,Turkiye,Matematik
14,Şehreban Arıpınar Aksu,98,97,42,56,Turkiye,Matematik
15,Bay İlmafer Türk,54,93,80,95,Turkiye,Beden Egitimi
16,Bay Şide Akçay,65,48,73,93,Turkiye,Matematik
17,Yeneral Zengin,66,59,83,69,Turkiye,Turkce
18,Vecide Yurtseven Ergül Arslan,95,65,65,62,Turkiye,Ingilizce
19,Kutgün Alemdar Hayrioğlu,63,55,100,61,Turkiye,Beden Egitimi
20,Ervaniye Akçay Türk,89,51,91,98,Suriye,Matematik
21,Bay Tuğtaş Erdoğan,73,66,82,81,Turkiye,Ingilizce
22,Tule İhsanoğlu,47,48,64,80,Suriye,Beden Egitimi
23,Sevindik Şensoy,84,53,85,74,Turkiye,Ingilizce
24,Yasan Akçay,90,51,58,78,Turkiye,Beden Egitimi
25,Bayan Gülsalın Güçlü Alemdar,99,47,40,58,Turkiye,Turkce
26,Dr. Över Demirel,76,60,58,65,Turkiye,Ingilizce
27,Türkalp Karadeniz,50,79,61,99,Suriye,Beden Egitimi
28,Bayan Nurşan Burcuhan Yorulmaz,51,83,63,98,Turkiye,Turkce
29,Fermuta Dilcan Arslan,98,61,69,58,Suriye,Ingilizce
30,Hasgül Yepelek Demir Fırat,77,66,90,81,Turkiye,Matematik
31,Bay Hazrat Şensoy,75,51,83,59,Suriye,Turkce
32,Gündüzalp Akdeniz,52,45,56,90,Turkiye,Ingilizce
33,Üge Yorulmaz Şener,71,80,78,66,Turkiye,Ingilizce
34,Şahdiye Evde Demir,47,67,75,75,Turkiye,Ingilizce
35,Dürrüşehvar Akdeniz,48,76,86,75,Bulgaristan,Ingilizce
36,Oluş Bitül Aslan,91,55,49,58,Turkiye,Matematik
